Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene821	0.859348272	0.00485728
gene822	0.291585607	0.005070929
gene823	0.617666942	0.00476535
gene824	-0.488036939	0.005626968
gene825	0.511945518	0.005460123
gene826	0.283572455	0.004943022
gene827	0.300094334	0.00514363
gene828	-0.28030386	0.005641085
gene829	-0.385496205	0.005095281
gene830	0.7041075	0.006422386
gene831	-0.30057828	0.005243939
gene832	-0.524685706	0.005248382
gene833	0.93771457	0.006144869
gene834	-0.932890321	0.00614992
gene835	0.337004038	0.005469879
gene836	-0.34165386	0.005684723
gene837	0.761613142	0.011526707
gene838	0.465065254	0.007209415
gene839	0.454104891	0.006510261
gene840	0.612402127	0.006510261
gene841	0.266103238	0.005665783
gene842	-0.366291372	0.006077674
gene843	0.483826216	0.006565645
gene844	-0.440610462	0.005697796
gene845	-0.563283692	0.007313817
gene846	-0.282148782	0.005983454
gene847	-0.983418748	0.005803577
gene848	-0.500559371	0.006292329
gene849	-0.90934162	0.008349512
gene850	-0.36600818	0.006958916
gene851	-1.084576502	0.012031362
gene852	0.254187418	0.006510261
gene853	-0.611072721	0.01215131
gene854	0.562668294	0.006234745
gene855	2.873291174	0.006257573
gene856	-0.509636194	0.006685943
gene857	0.38303986	0.006690792
gene858	0.408428877	0.007639487
gene859	0.313041086	0.00664881
gene860	0.739047421	0.008886611
gene861	0.334452127	0.007826515
gene862	-0.404543726	0.007826515
gene863	0.730165966	0.009504256
gene864	0.529494217	0.00793624
gene865	-0.977091703	0.007152706
gene866	0.333533584	0.006982148
gene867	-0.607378028	0.00718677
gene868	0.615141489	0.009830421
gene869	-0.660236577	0.008172814
gene870	0.450133829	0.012800372
gene871	1.735038258	0.008232145
gene872	-0.551882252	0.007404739
gene873	-0.476997271	0.007421383
gene874	0.332276315	0.00840881
gene875	-0.342484134	0.009688935
gene876	2.634240394	0.007421383
gene877	0.366534476	0.007654004
gene878	0.780670185	0.02617315
gene879	-0.455506837	0.007753048
gene880	0.530586934	0.008051247
gene881	-1.915085257	0.008063509
gene882	0.348910806	0.00806666
gene883	-0.943102681	0.009688935
gene884	0.543303401	0.008152756
gene885	-0.730956513	0.01664556
gene886	-0.435283532	0.00885942
gene887	0.649715996	0.008063509
gene888	-0.843099081	0.009399749
gene889	0.388303402	0.008031775
gene890	-0.359522972	0.008489398
gene891	0.692227746	0.014463185
gene892	0.412816019	0.00813862
gene893	0.274259905	0.008649568
gene894	0.27354062	0.008986067
gene895	0.531143274	0.00827159
gene896	0.488501836	0.008741726
gene897	0.759446494	0.028706532
gene898	-0.33600399	0.008565726
gene899	-0.56370019	0.00840881
gene900	0.570015546	0.014974935
gene901	-0.278946973	0.008444113
gene902	0.599880589	0.008986067
gene903	0.354944707	0.011921342
gene904	-0.220360143	0.008578888
gene905	-0.458377849	0.008595895
gene906	0.459545564	0.008595895
gene907	-0.393899122	0.00910845
gene908	-0.249716357	0.008627542
gene909	-0.450869152	0.009151339
gene910	-0.423728146	0.008855546
gene911	-0.321704968	0.010104893
gene912	-0.270029561	0.009398913
gene913	-0.43877897	0.013218272
gene914	0.391535449	0.009446281
gene915	-0.449934366	0.009200751
gene916	-0.347111657	0.010781256
gene917	-0.368815266	0.009938073
gene918	0.584036	0.015153265
gene919	0.681760829	0.009695368
gene920	0.575788317	0.009770514
gene921	0.263310368	0.009326799
gene922	0.662701988	0.012373156
gene923	-0.422732224	0.009504256
gene924	0.466008851	0.009827503
gene925	-1.020578957	0.010697764
gene926	0.572449463	0.01622657
gene927	2.532782896	0.011551821
gene928	-0.416773007	0.009938073
gene929	0.407202967	0.014709477
gene930	-0.454729254	0.011633166
gene931	-0.351305651	0.011173655
gene932	0.339654747	0.013229348
gene933	0.765804496	0.02857138
gene934	-0.407282639	0.011231092
gene935	0.479611773	0.011788369
gene936	0.339396679	0.010334805
gene937	0.37074778	0.010369986
gene938	0.789689753	0.019952107
gene939	0.546228416	0.010781256
gene940	-0.307905258	0.010853135
gene941	-1.401513967	0.011921342
gene942	-0.587156623	0.012024914
gene943	-0.762168542	0.020881863
gene944	0.528221573	0.011086494
gene945	-0.449315777	0.012681882
gene946	0.266012416	0.011921342
gene947	-0.525779351	0.011991897
gene948	-0.547945323	0.012367291
gene949	0.256364909	0.012031362
gene950	0.393381729	0.012905933
gene951	0.465512501	0.012178015
gene952	-0.575421763	0.02446292
gene953	-1.019345113	0.02446292
gene954	-0.378699755	0.011666574
gene955	-0.522970558	0.013148335
gene956	-0.852748531	0.011705473
gene957	0.38855934	0.012760495
gene958	0.545467323	0.015134281
gene959	-0.716874899	0.01218989
gene960	-0.550283574	0.012961202
gene961	-0.526184884	0.013482965
gene962	-0.426487094	0.015448964
gene963	-0.735866386	0.012067989
gene964	-0.253484733	0.012238492
gene965	2.989862379	0.012287101
gene966	0.384266088	0.01253497
gene967	0.397027811	0.012832567
gene968	-0.57187874	0.012592766
gene969	0.523972734	0.012681882
gene970	-0.295686136	0.012702668
gene971	0.597533646	0.016980405
gene972	0.281040164	0.012800372
gene973	-0.396872505	0.012952018
gene974	0.569808084	0.027213585
gene975	-0.375624927	0.013463964
gene976	0.254445004	0.013234969
gene977	0.300656828	0.014136981
gene978	-0.471964412	0.013976465
gene979	0.345588508	0.013662124
gene980	-0.254423056	0.014578957
gene981	-1.437861994	0.024511735
gene982	0.269232791	0.014103269
gene983	-0.350219634	0.014145682
gene984	-0.735959993	0.016786512
gene985	0.667424891	0.018292611
gene986	-0.40018898	0.015955216
gene987	0.368412414	0.014947045
gene988	-0.394001671	0.015030615
gene989	0.241933204	0.014442685
gene990	0.51236704	0.03448176
gene991	0.350644638	0.015209958
gene992	0.238007535	0.015209958
gene993	0.559395908	0.014607476
gene994	0.604707703	0.014689004
gene995	-0.899960208	0.024801062
gene996	-0.243024111	0.014734927
gene997	-0.664258999	0.014734927
gene998	-0.306523861	0.016672812
gene999	-0.346482448	0.015603507
gene1000	-0.438356909	0.014924037
gene1001	-0.389937438	0.015609982
gene1002	0.307411541	0.014947045
gene1003	-0.387310983	0.016786512
gene1004	-0.699379941	0.026034794
gene1005	1.295314457	0.015060569
gene1006	0.495497528	0.015153265
gene1007	-0.297688243	0.015603507
gene1008	-0.538687345	0.015609982
gene1009	-0.4372381	0.017315164
gene1010	-0.729699156	0.019952107
gene1011	-1.291265217	0.019952107
gene1012	0.724829821	0.02270915
gene1013	0.366813942	0.016765758
gene1014	-0.349621375	0.016765758
gene1015	0.66590807	0.038295358
gene1016	0.462055201	0.019194026
gene1017	-0.434488527	0.018292611
gene1018	0.343389892	0.016465644
gene1019	-0.697345063	0.019520449
gene1020	-0.574407117	0.018761373
gene1021	0.74043527	0.035338447
gene1022	-1.311454768	0.021677171
gene1023	0.399969034	0.016776482
gene1024	0.185095787	0.017050262
gene1025	-0.799565654	0.029540829
gene1026	0.59030549	0.019395886
gene1027	0.647393405	0.025964544
gene1028	-0.302044257	0.017842411
gene1029	-0.561668782	0.026915462
gene1030	0.574982993	0.039848768
gene1031	-0.383676256	0.022052187
gene1032	-0.470920859	0.017842411
gene1033	-0.33860932	0.018292611
gene1034	0.819215108	0.041297404
gene1035	0.274539875	0.018530687
gene1036	-0.466884721	0.029952536
gene1037	0.447070649	0.019130213
gene1038	-0.213950877	0.018761373
gene1039	0.376664616	0.01880085
gene1040	-0.410745449	0.02446292
gene1041	0.794056634	0.026617307
gene1042	0.354254403	0.019027532
gene1043	-0.453076499	0.025787763
gene1044	0.252517638	0.019395886
gene1045	0.957202318	0.019952107
gene1046	0.243781708	0.020482059
gene1047	-0.237936665	0.019674025
gene1048	-0.521488336	0.019674025
gene1049	0.606275346	0.024612011
gene1050	0.345733349	0.020021221
gene1051	-0.468534754	0.028505852
gene1052	-0.847943252	0.024720874
gene1053	-0.265337794	0.020267934
gene1054	0.384686914	0.020340215
gene1055	-0.358338475	0.020834737
gene1056	0.359389709	0.033245143
gene1057	0.360163834	0.022538406
gene1058	0.342200953	0.029815292
gene1059	1.302166199	0.048372451
gene1060	0.696437314	0.023400006
gene1061	0.347627009	0.024225952
gene1062	-0.64915359	0.032441781
gene1063	0.373227094	0.024511735
gene1064	0.746759984	0.025414358
gene1065	0.61044175	0.042739324
gene1066	0.268670598	0.022245111
gene1067	0.41211837	0.027302707
gene1068	-0.378783112	0.023169725
gene1069	0.745333726	0.038295358
gene1070	-0.839876965	0.04085344
gene1071	0.272568268	0.028943941
gene1072	-0.61233633	0.023611616
gene1073	-0.475272219	0.026517289
gene1074	0.341554172	0.023692936
gene1075	0.19788804	0.02446292
gene1076	-0.384225089	0.02581801
gene1077	0.755895378	0.032829556
gene1078	0.220264799	0.024715767
gene1079	-0.209172854	0.025414358
gene1080	-0.816596076	0.035340947
gene1081	-0.194143081	0.024155235
gene1082	0.331097316	0.02446292
gene1083	-0.333620334	0.026292352
gene1084	0.406047522	0.025669601
gene1085	0.74183159	0.049003881
gene1086	0.523859118	0.036528771
gene1087	0.355685125	0.025348055
gene1088	0.349243748	0.025258623
gene1089	0.234285415	0.025348055
gene1090	-0.263379654	0.025414358
gene1091	-0.303585152	0.025547999
gene1092	-0.530368564	0.031111859
gene1093	-0.335171932	0.025781215
gene1094	-0.535372627	0.028635004
gene1095	-0.226533452	0.02593673
gene1096	-0.295345555	0.027173132
gene1097	-0.412260329	0.027538669
gene1098	-0.237635158	0.027549084
gene1099	0.62445072	0.027626221
gene1100	-0.476458115	0.029461113
gene1101	-0.259571625	0.027929733
gene1102	-0.335504002	0.029600322
gene1103	0.689829156	0.031592325
gene1104	0.313224278	0.028255153
gene1105	0.258606172	0.029421272
gene1106	0.317064267	0.03021436
gene1107	0.485611325	0.031589853
gene1108	0.242540021	0.028813423
gene1109	-0.255401632	0.027626221
gene1110	0.459677019	0.047876883
gene1111	-0.752709151	0.060747869
gene1112	-0.340160426	0.029173565
gene1113	0.301870782	0.03094368
gene1114	0.394801164	0.044067574
gene1115	-0.885973538	0.035338447
gene1116	0.426600559	0.032303008
gene1117	0.30163716	0.029491928
gene1118	0.233993009	0.028395181
gene1119	-0.274648365	0.028940551
gene1120	-0.268595798	0.035764301
gene1121	0.617787751	0.059682903
gene1122	-0.352480826	0.030020162
gene1123	-0.182460171	0.03029496
gene1124	0.429387013	0.03677156
gene1125	-0.23494549	0.029461113
gene1126	-0.323198547	0.040775146
gene1127	-0.480050768	0.031004422
gene1128	-0.169526564	0.029952536
gene1129	0.409066806	0.056241023
gene1130	-0.608716937	0.0523681
gene1131	0.613570815	0.10169802
gene1132	0.357028952	0.032831369
gene1133	-0.393853051	0.031383321
gene1134	-0.3237849	0.039607729
gene1135	0.367285699	0.032997112
gene1136	0.402735323	0.035168989
gene1137	-0.938704577	0.06865445
gene1138	0.749544351	0.037652682
gene1139	-0.282260876	0.035332204
gene1140	-0.319344006	0.040339883
gene1141	0.428082583	0.053860925
gene1142	-0.790984609	0.04060697
gene1143	0.231268592	0.032599142
gene1144	-1.192406128	0.050771031
gene1145	0.340363109	0.033245444
gene1146	-0.683449381	0.060747869
gene1147	-0.656077238	0.035023905
gene1148	0.591264223	0.035261051
gene1149	0.40902185	0.03304763
gene1150	-0.544761054	0.080922864
gene1151	-0.386991784	0.036198438
gene1152	-0.282486918	0.034706511
gene1153	-0.342542886	0.034230413
gene1154	-0.601191471	0.034246217
gene1155	-0.316430273	0.035823747
gene1156	0.302002546	0.042644797
gene1157	-0.488935426	0.042739324
gene1158	-0.277706494	0.036148517
gene1159	0.437806325	0.035023905
gene1160	-0.323474812	0.035168989
gene1161	0.241420504	0.035340947
gene1162	-0.621660163	0.043740289
gene1163	0.283815027	0.04550326
gene1164	1.211764501	0.05074073
gene1165	0.68888335	0.064031282
gene1166	0.711890896	0.051547941
gene1167	0.244224747	0.038295358
gene1168	0.499891571	0.058897799
gene1169	0.214786408	0.039213757
gene1170	-0.231519719	0.040355306
gene1171	0.211277682	0.036851596
gene1172	0.36591931	0.036991722
gene1173	-0.574105943	0.039607729
gene1174	0.275804025	0.037873433
gene1175	-1.456696835	0.073073547
gene1176	0.225915109	0.040585819
gene1177	-0.217292322	0.039000154
gene1178	-0.383044859	0.061870039
gene1179	-0.297537367	0.038295358
gene1180	-0.32800647	0.043062382
gene1181	-0.449010727	0.040030868
gene1182	0.325854996	0.040339883
gene1183	0.378259826	0.039607729
gene1184	0.268191923	0.059004536
gene1185	-0.682615791	0.042431722
gene1186	0.50136421	0.062995447
gene1187	-0.240995492	0.040030868
gene1188	0.323813215	0.042418961
gene1189	-0.334507457	0.043455726
gene1190	0.381366316	0.040339883
gene1191	0.658429564	0.040942828
gene1192	-0.242133722	0.040983211
gene1193	0.382691009	0.042739324
gene1194	-0.187962985	0.042739324
gene1195	0.236391161	0.042248175
gene1196	0.221487974	0.040814565
gene1197	-0.374423907	0.044288661
gene1198	-0.219001789	0.040983211
gene1199	0.191232078	0.041051669
gene1200	0.404226419	0.042080271
gene1201	-0.551012069	0.043808197
gene1202	-0.248976328	0.045197934
gene1203	0.185046981	0.041815443
gene1204	0.535792235	0.130033937
gene1205	0.318873679	0.042094509
gene1206	0.578289541	0.04216341
gene1207	-0.264398316	0.042255188
gene1208	-1.102104616	0.053985125
gene1209	0.414922892	0.068522072
gene1210	0.183954899	0.042418961
gene1211	-0.232596531	0.042443944
gene1212	0.257416645	0.0523681
gene1213	-0.505801661	0.043261635
gene1214	-0.876773498	0.042739324
gene1215	-0.319202109	0.045739891
gene1216	0.171147499	0.043893736
gene1217	-0.17117381	0.043740289
gene1218	0.20769721	0.044672401
gene1219	0.291635586	0.04819471
gene1220	-0.279002323	0.04417497
gene1221	0.363486292	0.048259924
gene1222	-0.345485444	0.044729945
gene1223	-0.885403067	0.047736938
gene1224	0.245308885	0.045182487
gene1225	-0.513173309	0.057809795
gene1226	0.411360685	0.047107802
gene1227	-0.172376201	0.045543317
gene1228	0.172707224	0.046525574
gene1229	0.269294359	0.046785364
gene1230	0.214063375	0.048665579
gene1231	0.232705769	0.051171509
gene1232	-0.246120726	0.049342078
gene1233	-0.2559401	0.049619392
gene1234	-0.19804354	0.048078808
gene1235	-0.923684488	0.099657356
gene1236	0.174735319	0.04819471
gene1237	-0.38454252	0.056271749
gene1238	0.277790105	0.048528762
gene1239	-0.271708049	0.051755737
gene1240	-0.400760135	0.113049496
gene1241	0.45392952	0.049111235
gene1242	-0.475033715	0.049994219
gene1243	-0.446099159	0.053860925
gene1244	0.567822884	0.049619392
gene1245	0.396396862	0.06622115
gene1246	-0.377148227	0.050167808
gene1247	-0.222465761	0.051004716
gene1248	0.330093998	0.05622056
gene1249	0.197905244	0.052003181
gene1250	-0.528079421	0.056238858
gene1251	0.360136897	0.052213854
gene1252	-0.368909427	0.05074073
gene1253	-0.270902935	0.052449115
gene1254	-0.295335701	0.051332894
gene1255	0.300316298	0.055785891
gene1256	0.315978395	0.053348165
gene1257	-0.521409353	0.063836817
gene1258	0.208807267	0.053860925
gene1259	0.447792669	0.07345543
gene1260	-0.95022469	0.085107483
gene1261	-0.416629434	0.057702937
gene1262	-0.409323221	0.055489685
gene1263	0.236919762	0.054697039
gene1264	-0.761944748	0.054170517
gene1265	-0.353081496	0.055328076
gene1266	-0.28334257	0.095613458
gene1267	0.224174558	0.0568197
gene1268	-0.26820582	0.056271749
gene1269	-0.519172352	0.057537623
gene1270	-0.236115012	0.055799007
gene1271	-0.50950293	0.056238858
gene1272	0.506351481	0.07131181
gene1273	-0.287876411	0.056271749
gene1274	-0.373651213	0.061586307
gene1275	-0.303841968	0.062074433
gene1276	-0.273990837	0.057429341
gene1277	0.516946119	0.059636223
gene1278	0.521886821	0.116855625
gene1279	-0.42975589	0.080527982
gene1280	-0.281300439	0.059636223
gene1281	0.458207608	0.131308395
gene1282	-0.404925648	0.109386732
gene1283	0.514633944	0.113382012
gene1284	-0.455749387	0.075287426
gene1285	0.171272639	0.062865638
gene1286	1.420211568	0.085347612
gene1287	-0.436248367	0.119714192
gene1288	-0.307457098	0.068999115
gene1289	0.176559224	0.060295452
gene1290	-0.307165495	0.062396654
gene1291	-0.308891444	0.10169802
gene1292	0.283710522	0.063885759
gene1293	0.395257108	0.06279906
gene1294	0.331393729	0.062900851
gene1295	-0.309055126	0.074751937
gene1296	-0.209294158	0.06622115
gene1297	-0.683273821	0.077318205
gene1298	-0.193049249	0.061526508
gene1299	0.294676888	0.061583559
gene1300	0.183904922	0.064046254
gene1301	-0.503344135	0.099805219
gene1302	-0.228629683	0.076039442
gene1303	-0.514252664	0.063553163
gene1304	0.228239454	0.06755005
gene1305	-0.352340753	0.067558976
gene1306	-0.291285337	0.070011282
gene1307	-0.232871768	0.070567445
gene1308	0.804497062	0.121068074
gene1309	0.296259635	0.065142056
gene1310	0.724930393	0.118405062
gene1311	0.281156467	0.099513549
gene1312	0.441440037	0.182699045
gene1313	0.466635957	0.077131365
gene1314	0.499223174	0.108174475
gene1315	0.231636653	0.067015925
gene1316	0.222170782	0.072800832
gene1317	0.285038961	0.066768134
gene1318	-0.329999557	0.071029466
gene1319	0.281272509	0.066933068
gene1320	0.317560021	0.067015925
gene1321	-0.340194036	0.06622115
gene1322	-0.285517566	0.066293751
gene1323	-0.168945936	0.066768134
gene1324	-0.29527639	0.079314049
gene1325	-0.297769499	0.111072093
gene1326	0.16672527	0.070567445
gene1327	-0.364891359	0.150624612
gene1328	-0.196336203	0.073823662
gene1329	0.310186296	0.10908184
gene1330	0.258924879	0.068897509
gene1331	-0.332457872	0.109286098
gene1332	-0.394267464	0.106111105
gene1333	-0.802361418	0.090490163
gene1334	0.280706474	0.070567445
gene1335	-0.171457372	0.070611118
gene1336	-0.181646298	0.072998759
gene1337	-0.254690486	0.073080817
gene1338	-0.591875838	0.072707297
gene1339	-0.296322742	0.072389943
gene1340	-0.289821935	0.13590893
gene1341	0.177552764	0.075766949
gene1342	-0.471953659	0.143305231
gene1343	0.470419812	0.116331253
gene1344	1.739220008	0.073812454
gene1345	0.707811747	0.143940048
gene1346	0.344029146	0.087532475
gene1347	-0.302294286	0.152191494
gene1348	-0.404070242	0.079972074
gene1349	0.169967544	0.077208581
gene1350	0.66536977	0.101834083
gene1351	-0.155764022	0.075536079
gene1352	-0.314029121	0.10908184
gene1353	0.211868215	0.081368662
gene1354	0.633856194	0.076570697
gene1355	-0.180742794	0.076570697
gene1356	0.407547721	0.078853412
gene1357	-0.225136161	0.082478178
gene1358	0.18829616	0.078198152
gene1359	-0.223067817	0.080922864
gene1360	-0.416820224	0.077318205
gene1361	-0.216196879	0.077318205
gene1362	-0.178132381	0.077393165
gene1363	-0.298793484	0.079234198
gene1364	-0.522513799	0.080636291
gene1365	-0.195894122	0.078619127
gene1366	-0.314298204	0.084391318
gene1367	0.281181919	0.081014568
gene1368	-0.575416969	0.096436108
gene1369	0.225344982	0.100165101
gene1370	0.380170446	0.128623696
gene1371	-0.401741679	0.080636291
gene1372	0.381082999	0.086483289
gene1373	0.395125909	0.218338463
gene1374	-0.320043604	0.098875072
gene1375	-0.261728522	0.086838364
gene1376	-0.194358145	0.082478178
gene1377	0.793294359	0.119630628
gene1378	0.329005489	0.084883301
gene1379	-0.180610573	0.087753608
gene1380	0.556625332	0.083834251
gene1381	-0.673672254	0.087764487
gene1382	0.331495363	0.085064113
gene1383	-0.242945837	0.10169802
gene1384	0.406714335	0.086473877
gene1385	0.301207058	0.086700272
gene1386	0.251280232	0.085622016
gene1387	0.370922074	0.114915151
gene1388	0.653706663	0.155284012
gene1389	0.401859962	0.087928885
gene1390	0.202174657	0.093927294
gene1391	-0.222369321	0.096572877
gene1392	-0.503429431	0.090490163
gene1393	-0.324858864	0.185578291
gene1394	0.474305787	0.131241825
gene1395	0.244119837	0.159409022
gene1396	-0.245251089	0.092401356
gene1397	0.23051355	0.10927189
gene1398	0.729803778	0.129492589
gene1399	0.411558279	0.138218705
gene1400	0.203754955	0.096303498
gene1401	0.152100695	0.095076061
gene1402	-0.437138657	0.100834323
gene1403	0.19901668	0.095285693
gene1404	0.220696177	0.097154491
gene1405	-0.550063197	0.100858854
gene1406	-0.195558733	0.095076061
gene1407	-0.926095715	0.113382012
gene1408	-0.751374829	0.153943595
gene1409	0.373592253	0.104742076
gene1410	-0.300230423	0.150067889
gene1411	0.199460023	0.099917584
gene1412	-0.151338563	0.100165101
gene1413	0.425110496	0.097820014
gene1414	0.418323641	0.207972756
gene1415	-0.239346425	0.100653661
gene1416	0.25481983	0.098829767
gene1417	0.272997813	0.102855308
gene1418	-0.301350218	0.140126004
gene1419	-0.847163886	0.121466337
gene1420	-0.68789978	0.099513549
gene1421	-0.252178784	0.099513549
gene1422	-0.249743394	0.104079631
gene1423	0.340004364	0.111733116
gene1424	-0.273466225	0.101834083
gene1425	0.35182831	0.104079631
gene1426	-0.495696624	0.182146863
gene1427	-0.288260489	0.105171651
gene1428	0.347279938	0.10908184
gene1429	-0.205681751	0.105304702
gene1430	-0.320663989	0.125650564
gene1431	-0.287201705	0.193417526
gene1432	-0.449546419	0.104165613
gene1433	0.263627661	0.10927189
gene1434	-0.346068842	0.10773526
gene1435	-0.194483742	0.104079631
gene1436	-0.163310224	0.10410283
gene1437	0.174114178	0.104719425
gene1438	0.361064841	0.179165104
gene1439	-0.118276929	0.106111105
gene1440	0.160941553	0.107676151
gene1441	0.34799663	0.12204746
gene1442	0.34624237	0.10927189
gene1443	0.17706163	0.113382012
gene1444	0.345957939	0.162858947
gene1445	-0.211034931	0.111346134
gene1446	0.139425825	0.10908184
gene1447	-0.567110772	0.10908184
gene1448	0.175075223	0.10908184
gene1449	-0.371522691	0.14990875
gene1450	0.170156763	0.109639654
gene1451	0.173485873	0.116387944
gene1452	-0.315583496	0.178161957
gene1453	0.20521279	0.113382012
gene1454	0.171840179	0.113529939
gene1455	-0.194565981	0.118186908
gene1456	0.187044778	0.113049496
gene1457	-0.576998349	0.118666914
gene1458	-0.472418669	0.235871201
gene1459	-0.214673422	0.113858649
gene1460	0.218278482	0.113858649
gene1461	0.233484284	0.176022832
gene1462	-0.309747078	0.203211655
gene1463	-0.427184948	0.120712887
gene1464	0.421275602	0.214776201
gene1465	0.234592489	0.118666914
gene1466	-0.218891593	0.141940061
gene1467	0.265837791	0.233884152
gene1468	0.460090921	0.182548012
gene1469	-0.248351928	0.12204746
gene1470	0.196675941	0.120599074
gene1471	-0.413957808	0.218898324
gene1472	0.410142652	0.149210018
gene1473	-0.39930598	0.180508382
gene1474	0.282269773	0.119634917
gene1475	-0.434754403	0.12510903
gene1476	0.345986127	0.152191494
gene1477	-0.240819539	0.148504708
gene1478	0.171184468	0.12482802
gene1479	-0.122808275	0.12204746
gene1480	-0.180123595	0.12204746
gene1481	-0.203979058	0.12510903
gene1482	-0.338106705	0.129492589
gene1483	-0.268879281	0.122835653
gene1484	-0.209008609	0.125762964
gene1485	0.300561514	0.130055764
gene1486	0.229883942	0.12408021
gene1487	-0.260340077	0.155495979
gene1488	-0.242341149	0.131507027
gene1489	-0.205443863	0.124915327
gene1490	-0.137563433	0.124915327
gene1491	-0.195832263	0.131698759
gene1492	0.156329385	0.125862502
gene1493	0.205234795	0.129705652
gene1494	0.36211705	0.131690886
gene1495	-0.418454506	0.198513466
gene1496	-0.423584871	0.129130882
gene1497	0.17005585	0.129803568
gene1498	-0.891698533	0.131308395
gene1499	0.200550452	0.131690886
gene1500	-0.208488011	0.131690886
gene1501	0.183322455	0.130980496
gene1502	-0.153642101	0.141172273
gene1503	-0.454243222	0.140126004
gene1504	0.443964886	0.176022832
gene1505	-0.169881674	0.138936072
gene1506	-0.226959299	0.143305231
gene1507	0.288949447	0.137046055
gene1508	-0.155587922	0.139969328
gene1509	-0.22684165	0.164696355
gene1510	0.262955983	0.140119657
gene1511	0.289139352	0.140140085
gene1512	-0.308940501	0.142563995
gene1513	0.141969738	0.140025204
gene1514	-0.261097005	0.166839223
gene1515	0.242588516	0.14553312
gene1516	-0.593434073	0.150937611
gene1517	-0.28954765	0.149138006
gene1518	-0.147932029	0.149493152
gene1519	0.358037208	0.150586465
gene1520	0.3279885	0.144239875
gene1521	0.18776428	0.150624612
gene1522	0.294461956	0.150624612
gene1523	-0.600953828	0.153708223
gene1524	-0.225262461	0.152898454
gene1525	-0.49035153	0.174532886
gene1526	0.323168482	0.150937611
gene1527	-0.290702349	0.216766479
gene1528	0.292819667	0.246224352
gene1529	-0.28693679	0.259731911
gene1530	0.23334555	0.153536643
gene1531	0.240872905	0.152191494
gene1532	-0.354374165	0.180562644
gene1533	-0.189240761	0.155293748
gene1534	-0.651200088	0.155293748
gene1535	-0.397016548	0.152898454
gene1536	-0.423804784	0.160125567
gene1537	0.75129678	0.20617961
gene1538	0.316945397	0.161557333
gene1539	-0.21867572	0.164391391
gene1540	0.181640702	0.159218627
gene1541	-0.137228252	0.159623357
gene1542	-0.13928193	0.159623357
gene1543	-0.158800103	0.160125567
gene1544	-0.247223478	0.165746078
gene1545	-0.278546907	0.257370588
gene1546	-0.198882629	0.167068931
gene1547	-0.515089308	0.189393675
gene1548	-0.660747194	0.206185831
gene1549	-0.197234797	0.166970774
gene1550	0.313199991	0.252592024
gene1551	-0.404594338	0.319548087
gene1552	0.443724457	0.360057425
gene1553	-0.175126395	0.171430121
gene1554	-0.325060013	0.178849196
gene1555	-0.375436771	0.257079024
gene1556	-0.246479246	0.170617143
gene1557	0.211153148	0.230202893
gene1558	0.335326946	0.17144995
gene1559	0.269744623	0.322948901
gene1560	0.470060567	0.181598371
gene1561	-0.352254816	0.179551332
gene1562	-0.476091976	0.21130404
gene1563	-0.180832546	0.176022832
gene1564	-0.198175881	0.176022832
gene1565	0.192343508	0.252592024
gene1566	-0.246890141	0.20968823
gene1567	0.305185595	0.177947488
gene1568	-0.176944611	0.187693713
gene1569	0.250714161	0.179551332
gene1570	-0.181910985	0.181598371
gene1571	0.265821728	0.181635485
gene1572	-0.148310697	0.188443081
gene1573	0.517116755	0.365839505
gene1574	0.17373091	0.191742597
gene1575	0.178199139	0.192348288
gene1576	0.378819389	0.276566254
gene1577	-0.312754343	0.217909252
gene1578	0.703302363	0.298999968
gene1579	0.249432275	0.187232535
gene1580	0.258893104	0.187267435
gene1581	0.273808875	0.279331276
gene1582	0.297052843	0.293126487
gene1583	-0.227788852	0.192106462
gene1584	0.122925753	0.192209277
gene1585	-0.133666403	0.196594995
gene1586	0.178281509	0.200373815
gene1587	0.176993946	0.195486703
gene1588	0.200179805	0.199443634
gene1589	-0.236584644	0.235827085
gene1590	-0.20982034	0.201182102
gene1591	0.198699768	0.204229104
gene1592	0.175062933	0.198845082
gene1593	-0.189018633	0.209000507
gene1594	-0.160456337	0.200602455
gene1595	0.234790753	0.320631467
gene1596	-0.117746118	0.203491556
gene1597	0.151881654	0.209391429
gene1598	-0.189594462	0.212807965
gene1599	0.101599075	0.207235347
gene1600	0.186567198	0.206185831
gene1601	-0.259785658	0.206185831
gene1602	0.344101059	0.307554287
gene1603	0.177467679	0.209640029
gene1604	0.267292364	0.208454156
gene1605	-0.583555256	0.259054714
gene1606	0.216628225	0.216004358
gene1607	-0.486652211	0.350119018
gene1608	-0.451619431	0.209000507
gene1609	-0.341848867	0.209000507
gene1610	0.507390922	0.212580056
gene1611	-0.107716069	0.209234347
gene1612	-0.316202563	0.246497873
gene1613	-0.269761854	0.209640029
gene1614	-0.156011476	0.247504074
gene1615	-0.406793355	0.247758362
gene1616	0.291741358	0.218947078
gene1617	0.142538076	0.326415128
gene1618	0.241956239	0.213684799
gene1619	-0.164786604	0.357600147
gene1620	0.200273224	0.212807965
gene1621	-0.162905461	0.21654867
gene1622	0.278920403	0.216605528
gene1623	-0.405227316	0.257061658
gene1624	0.142103534	0.215134921
gene1625	-0.344515953	0.221028019
gene1626	-0.352730444	0.224423829
gene1627	-0.526825622	0.362709481
