Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene180	-0.720053589	6.29E-06
gene181	-0.531285571	5.69E-06
gene182	0.919696139	5.69E-06
gene183	-1.593542283	5.89E-06
gene184	1.316745138	6.01E-06
gene185	-2.497912811	9.29E-06
gene186	1.012840194	7.60E-06
gene187	-0.994355699	1.15E-05
gene188	-1.197375766	1.00E-05
gene189	-0.561356737	8.67E-06
gene190	-1.416693664	1.17E-05
gene191	-1.166229443	8.99E-06
gene192	-0.590914668	8.92E-06
gene193	-0.723740702	9.18E-06
gene194	-0.449693417	9.29E-06
gene195	-2.19357375	1.36E-05
gene196	-0.80961818	1.00E-05
gene197	-0.939659386	1.42E-05
gene198	0.495162733	1.03E-05
gene199	1.406152441	1.33E-05
gene200	0.645178244	1.05E-05
gene201	-0.705357296	1.45E-05
gene202	0.702748294	1.33E-05
gene203	0.911972109	1.38E-05
gene204	-0.863877485	1.40E-05
gene205	-0.766590345	1.63E-05
gene206	-0.736863123	1.48E-05
gene207	1.957621676	1.48E-05
gene208	0.871193113	1.48E-05
gene209	0.570524011	1.51E-05
gene210	-1.117095593	1.54E-05
gene211	-0.736504505	1.59E-05
gene212	0.894780905	1.86E-05
gene213	0.636810877	1.86E-05
gene214	-2.320875107	1.79E-05
gene215	0.771360375	1.90E-05
gene216	1.22876077	1.91E-05
gene217	1.789006797	4.90E-05
gene218	-0.740291097	1.80E-05
gene219	0.938407212	1.80E-05
gene220	-0.882935964	1.80E-05
gene221	0.48952633	1.80E-05
gene222	-0.498892269	1.87E-05
gene223	0.442912621	1.90E-05
gene224	-0.512294893	2.00E-05
gene225	0.917438475	2.35E-05
gene226	0.896175829	2.09E-05
gene227	0.813265726	2.57E-05
gene228	0.882370866	2.59E-05
gene229	0.604079071	2.14E-05
gene230	1.10006251	2.27E-05
gene231	0.560138963	2.30E-05
gene232	0.82012756	3.82E-05
gene233	-0.75103452	2.44E-05
gene234	0.594805546	2.59E-05
gene235	-0.708197143	2.82E-05
gene236	-1.760728527	4.66E-05
gene237	-0.911814226	2.53E-05
gene238	0.550445441	2.54E-05
gene239	0.685976818	2.57E-05
gene240	2.076147068	2.96E-05
gene241	0.978737266	2.93E-05
gene242	0.69285289	2.63E-05
gene243	0.417673517	2.63E-05
gene244	-1.214065944	2.85E-05
gene245	0.758877332	3.16E-05
gene246	-0.763564232	2.89E-05
gene247	-0.797373502	3.99E-05
gene248	0.650653852	2.96E-05
gene249	1.056685797	4.42E-05
gene250	-0.828295767	4.36E-05
gene251	0.766142675	4.01E-05
gene252	-1.169354121	3.87E-05
gene253	-1.016349963	4.26E-05
gene254	-2.453922409	6.35E-05
gene255	-0.998368676	4.19E-05
gene256	-0.777106151	3.91E-05
gene257	0.66521413	5.52E-05
gene258	-0.912660039	5.68E-05
